NM_MUN,area_calc_km2
Orindiúva,248.44940903679873
Eldorado,1657.3284820071087
Pirangi,216.4125011451516
Vera Cruz,249.03748000509592
Jaborandi,274.0761495003596
Meridiano,229.67482605214832
Birigui,533.6609839076582
Ibitinga,691.5416520261358
Mesópolis,149.79206781923332
Sete Barras,1064.1814646664432
Américo Brasiliense,123.15821423072579
Catanduva,291.58280257452924
São Lourenço da Serra,186.48607449313073
Presidente Bernardes,757.3279111687835
Águas da Prata,142.66644859139586
Mogi Guaçu,812.9840099036188
Bariri,445.6697012607553
Indiaporã,281.4887588662725
Lindóia,48.751792879331724
Três Fronteiras,152.88773823716687
Getulina,680.7502806651488
Rinópolis,361.3086225793541
Reginópolis,411.97411532228114
Brodowski,278.74935507238257
Santana de Parnaíba,179.9760889665879
Magda,314.3343683735006
Pedra Bela,158.54617811761597
Santa Branca,272.0724330827539
São João da Boa Vista,516.4282872543226
Guararema,270.6775238790015
Poloni,135.85534022109638
Piracaia,385.429967737817
Tuiuti,126.72320155655085
Tapiratiba,221.89265281060386
Sud Mennucci,599.8517951230403
Cubatão,142.837695966276
Conchal,182.86600700008793
Votuporanga,423.1935299617581
Estrela do Norte,267.8789730095134
Zacarias,320.9764525465857
Santa Adélia,331.28783267890907
Bálsamo,150.59581220512942
Campo Limpo Paulista,79.40297641882769
Junqueirópolis,588.5402671893856
Gália,357.5897698502018
Roseira,129.74577506035692
Monte Alegre do Sul,110.29992214339421
Santa Lúcia,154.11807388251387
Iporanga,1154.8184161978338
Taquaral,54.01531574721747
Ubatuba,707.5416648789336
Cardoso,642.9823777512213
Óleo,199.7744166412613
Taubaté,624.5453401733273
Ribeirão Branco,699.4820265506555
Neves Paulista,220.14353908279824
Boituva,249.2156467204782
Itobi,139.0105040831166
Populina,318.3019817246351
Euclides da Cunha Paulista,582.1489755959129
Itapevi,82.67424414525088
Dobrada,150.0568241608747
Salto,133.13289649093298
Penápolis,715.6687193780557
Lutécia,478.4735729932059
Parapuã,369.66592184173265
Pirapora do Bom Jesus,108.51259781928535
Vinhedo,80.96702823832011
Guaraci,643.7609255244623
Lavrinhas,166.93436198953285
Miguelópolis,822.3350950926697
Ibiúna,1058.5687254802244
Cabrália Paulista,240.98534891622347
São Pedro,612.1566690073397
Tupã,632.5764314197135
Areias,304.98925929589456
Angatuba,1029.6428090450725
Barra Bonita,150.49367214779335
Quatá,656.2955001842913
Paraibuna,809.0155354858118
Itanhaém,601.7477227225003
Elisiário,94.32458036559613
Elias Fausto,202.4927579037203
Biritiba Mirim,317.23751363290506
Sales,309.97547389729635
Mairinque,210.25041191323686
Pedranópolis,261.73047617864785
Guaratinguetá,752.0464968451179
Serrana,126.17444671096742
São José do Barreiro,570.2546149669744
Américo de Campos,254.22803197589275
Itaoca,183.55216017679308
Nantes,289.3115355387653
Santo Expedito,95.40788431821055
Itaberá,1104.2142839771545
Monteiro Lobato,332.5320309279208
Vargem,142.55468618785895
Águas de Lindóia,60.11810906886491
Cunha,1406.1307800835884
Mirassolândia,166.8921628479003
Taboão da Serra,20.38819610547115
Uru,147.50168705073264
Barra do Chapéu,407.0786170334063
Ilhabela,346.12194604590377
Jarinu,207.54213313811096
Palmeira d'Oeste,321.33262519721507
Lins,572.920856894169
Timburi,197.7179509898508
Flora Rica,226.96103487777162
Assis,463.78913677257725
Glicério,274.5491690853718
Brotas,1103.2413441431693
Duartina,265.69784651553147
Campos do Jordão,289.771267428208
Santa Maria da Serra,253.0760014691768
Ilha Solteira,659.043070590966
Paulínia,138.8319745880789
Álvaro de Carvalho,154.44780415354532
Ilha Comprida,196.77690859953333
Adamantina,415.68248124545573
Torre de Pedra,71.48127350393229
Cristais Paulista,385.52053836529194
Riversul,387.5306060148185
Rancharia,1600.9421232782247
Salto de Pirapora,280.66838584603823
Jales,371.35805682242125
Ouro Verde,269.7977451060455
Francisco Morato,48.99946515991797
Rio das Pedras,226.8739722692527
Cabreúva,260.31729590472054
Planalto,291.48563627973937
Mariápolis,188.28189919909323
Piquerobi,488.1957199244223
Araçariguama,145.24899760338556
Charqueada,176.05253315565594
Tambaú,562.0852344528398
Silveiras,414.453002470871
Paulistânia,257.2165202885305
Tupi Paulista,247.41342643122144
Capivari,323.13507422287677
Embu das Artes,70.40360512771886
Bastos,172.26801538473742
Bom Jesus dos Perdões,108.34042113896872
Porangaba,266.1458578122512
Bom Sucesso de Itararé,134.06177765275663
Pedregulho,713.1800159542979
Guapiara,409.28314307217556
Luís Antônio,599.0065633905658
Lagoinha,255.2707929499035
Santo Antônio da Alegria,310.46181515899144
Guzolândia,254.49776977532187
Santa Fé do Sul,208.35390757509467
São Pedro do Turvo,734.9934859719476
São José do Rio Pardo,419.7417293130534
Araraquara,1005.5103058735473
Santópolis do Aguapeí,128.9597047128382
Queiroz,236.4398177732242
Itatinga,982.3825065064185
Novo Horizonte,935.5468525756793
Taciba,612.6991065324173
Itapecerica da Serra,150.7555926168915
Narandiba,361.0342490064752
Palmital,551.8724223875182
Cosmópolis,154.7345009783766
Jaú,688.8361340313245
Floreal,205.53360995423955
Avaré,1216.864118009393
Vargem Grande do Sul,267.21906150950775
Bernardino de Campos,245.2441682787329
Itupeva,200.93804487323516
Onda Verde,243.92871394497286
Dumont,111.55080868291107
Ibirá,272.9896097395985
Mauá,61.920944197014585
Sales Oliveira,306.19886847305906
Serra Negra,203.7229471627023
Alvinlândia,85.31550619440239
Adolfo,212.10548785214755
Barão de Antonina,153.8449723782854
Itaí,1096.6511926320018
Monte Mor,240.7064832158311
Vargem Grande Paulista,42.499761130546375
Praia Grande,149.6208167652931
Bertioga,491.2883432173658
Indaiatuba,311.68812855722166
Mococa,855.4127480159822
Pratânia,175.58401241477677
Torrinha,315.8415796393084
Rifaina,162.64038796806858
Bragança Paulista,512.4965907874133
Redenção da Serra,309.2161659734588
Pilar do Sul,682.0034192672287
Santa Mercedes,168.64554465998805
São Vicente,148.11665292117067
Guarantã,463.94755264410634
